id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,trust boundary,72,52,37,74,355,ship,baseline,monotonic-signal
g002,claim drift,102,35,44,56,402,ship,edge,drag-penalty
g003,replay exposure,76,29,28,68,346,ship,recovery,confidence-floor
g004,policy width,67,28,22,62,320,ship,negative,lane-boundary
g005,trust boundary,66,65,41,20,291,ship,baseline,monotonic-signal
g006,claim drift,69,16,31,47,262,ship,edge,drag-penalty
g007,replay exposure,30,29,28,22,116,watch,recovery,confidence-floor
g008,policy width,102,38,28,57,457,ship,negative,lane-boundary
g009,trust boundary,53,10,29,36,181,watch,baseline,monotonic-signal
g010,claim drift,76,34,31,30,309,ship,edge,drag-penalty
g011,replay exposure,91,13,13,31,382,ship,recovery,confidence-floor
g012,policy width,102,75,5,36,579,ship,negative,lane-boundary
g013,trust boundary,111,74,36,43,527,ship,baseline,monotonic-signal
g014,claim drift,31,76,20,94,310,ship,edge,drag-penalty
g015,replay exposure,83,9,34,81,329,ship,recovery,confidence-floor
g016,policy width,112,13,43,79,424,ship,negative,lane-boundary
g017,trust boundary,42,53,28,83,273,ship,baseline,monotonic-signal
g018,claim drift,99,75,43,46,463,ship,edge,drag-penalty
g019,replay exposure,87,19,10,32,388,ship,recovery,confidence-floor
g020,policy width,40,28,16,73,241,ship,negative,lane-boundary
g021,trust boundary,108,35,41,55,434,ship,baseline,monotonic-signal
g022,claim drift,102,76,34,67,525,ship,edge,drag-penalty
g023,replay exposure,102,64,11,61,564,ship,recovery,confidence-floor
g024,policy width,62,26,22,105,339,ship,negative,lane-boundary
g025,trust boundary,45,68,29,46,275,ship,baseline,monotonic-signal
g026,claim drift,40,68,13,21,278,ship,edge,drag-penalty
g027,replay exposure,41,70,7,56,339,ship,recovery,confidence-floor
g028,policy width,89,39,26,35,391,ship,negative,lane-boundary
g029,trust boundary,73,26,16,29,325,ship,baseline,monotonic-signal
g030,claim drift,68,57,13,30,377,ship,edge,drag-penalty
g031,replay exposure,113,40,13,35,528,ship,recovery,confidence-floor
g032,policy width,113,34,14,42,520,ship,negative,lane-boundary
g033,trust boundary,55,33,16,93,331,ship,baseline,monotonic-signal
g034,claim drift,117,70,40,80,568,ship,edge,drag-penalty
g035,replay exposure,108,21,32,78,456,ship,recovery,confidence-floor
g036,policy width,107,34,21,82,515,ship,negative,lane-boundary
g037,trust boundary,110,43,5,45,556,ship,baseline,monotonic-signal
g038,claim drift,71,15,19,31,288,ship,edge,drag-penalty
g039,replay exposure,55,39,28,72,286,ship,recovery,confidence-floor
g040,policy width,94,18,13,54,427,ship,negative,lane-boundary
g041,trust boundary,117,10,28,66,470,ship,baseline,monotonic-signal
g042,claim drift,44,9,37,60,143,watch,edge,drag-penalty
g043,replay exposure,55,11,43,104,217,ship,recovery,confidence-floor
g044,policy width,64,14,26,45,251,ship,negative,lane-boundary
g045,trust boundary,72,18,19,20,287,ship,baseline,monotonic-signal
g046,claim drift,36,58,38,55,201,ship,edge,drag-penalty
g047,replay exposure,65,10,7,34,293,ship,recovery,confidence-floor
g048,policy width,83,24,14,28,366,ship,negative,lane-boundary
g049,trust boundary,52,33,40,29,183,watch,baseline,monotonic-signal
g050,claim drift,40,40,34,34,172,watch,edge,drag-penalty
g051,replay exposure,81,11,11,41,354,ship,recovery,confidence-floor
g052,policy width,61,69,43,92,345,ship,negative,lane-boundary
g053,trust boundary,55,31,40,79,241,ship,baseline,monotonic-signal
g054,claim drift,55,73,40,77,323,ship,edge,drag-penalty
g055,replay exposure,103,73,41,81,516,ship,recovery,confidence-floor
g056,policy width,86,75,43,44,409,ship,negative,lane-boundary
g057,trust boundary,81,44,25,30,367,ship,baseline,monotonic-signal
g058,claim drift,82,31,17,71,410,ship,edge,drag-penalty
g059,replay exposure,42,62,6,53,327,ship,recovery,confidence-floor
g060,policy width,114,45,32,65,515,ship,negative,lane-boundary
g061,trust boundary,109,39,4,59,561,ship,baseline,monotonic-signal
g062,claim drift,66,38,13,103,404,ship,edge,drag-penalty
g063,replay exposure,66,75,40,44,338,ship,recovery,confidence-floor
g064,policy width,96,26,13,105,502,ship,negative,lane-boundary
g065,trust boundary,70,39,22,54,346,ship,baseline,monotonic-signal
g066,claim drift,61,48,28,33,289,ship,edge,drag-penalty
g067,replay exposure,60,20,11,27,274,ship,recovery,confidence-floor
g068,policy width,63,44,4,28,356,ship,negative,lane-boundary
g069,trust boundary,112,23,23,33,458,ship,baseline,monotonic-signal
g070,claim drift,96,15,34,40,352,ship,edge,drag-penalty
g071,replay exposure,47,14,41,91,184,watch,recovery,confidence-floor
g072,policy width,70,16,25,78,315,ship,negative,lane-boundary
g073,trust boundary,85,19,19,76,397,ship,baseline,monotonic-signal
g074,claim drift,96,23,38,80,396,ship,edge,drag-penalty
g075,replay exposure,105,63,28,43,505,ship,recovery,confidence-floor
g076,policy width,113,15,25,29,436,ship,negative,lane-boundary
g077,trust boundary,77,29,25,70,361,ship,baseline,monotonic-signal
g078,claim drift,106,38,26,52,474,ship,edge,drag-penalty
g079,replay exposure,36,45,28,64,214,ship,recovery,confidence-floor
g080,policy width,93,16,10,58,432,ship,negative,lane-boundary
g081,trust boundary,81,74,44,102,442,ship,baseline,monotonic-signal
g082,claim drift,34,36,33,43,152,watch,edge,drag-penalty
g083,replay exposure,102,8,17,104,477,ship,recovery,confidence-floor
g084,policy width,96,8,31,53,360,ship,negative,lane-boundary
g085,trust boundary,96,10,40,32,316,ship,baseline,monotonic-signal
g086,claim drift,56,49,25,26,273,ship,edge,drag-penalty
g087,replay exposure,39,36,40,27,135,watch,recovery,confidence-floor
g088,policy width,34,67,7,32,281,ship,negative,lane-boundary
g089,trust boundary,35,50,13,39,240,ship,baseline,monotonic-signal
